,Experiment name:,Sample experiment
Duration:,30 0
Rate:,10 per second
Sensors:,Pulse (ID 1  Exp 1),GSR (ID 1  Exp 1)
Range:,BPM,µS 0 - 10
Units:,BPM,µS
Time
'0:0:20.6,95,0.0350
'0:0:20.7,95,0.0350
'0:0:20.8,95,0.0350
'0:0:20.9,87,0.0349
'0:0:21.0,87,0.0348
'0:0:21.1,87,0.0349
'0:0:21.2,87,0.0352
'0:0:21.3,87,0.0352
'0:0:21.4,87,0.0350
'0:0:21.5,87,0.0350
'0:0:21.6,87,0.0350
'0:0:21.7,87,0.0350
'0:0:21.8,88,0.0351
'0:0:21.9,88,0.0351
'0:0:22.0,88,0.0351
'0:0:22.1,88,0.0352
'0:0:22.2,88,0.0352
'0:0:22.3,88,0.0352
'0:0:22.4,88,0.0352
'0:0:22.5,88,0.0352
'0:0:22.6,88,0.0352
'0:0:22.7,88,0.0352
'0:0:22.8,88,0.0351
'0:0:22.9,88,0.0351
'0:0:23.0,88,0.0351
'0:0:23.1,88,0.0350
'0:0:23.2,88,0.0350
'0:0:23.3,88,0.0350
'0:0:23.4,72,0.0350
'0:0:23.5,72,0.0350
'0:0:23.6,72,0.0350
'0:0:23.7,72,0.0350
'0:0:23.8,72,0.0350
'0:0:23.9,72,0.0351
'0:0:24.0,72,0.0351
'0:0:24.1,72,0.0351
'0:0:24.2,72,0.0350
'0:0:24.3,72,0.0351
'0:0:24.4,72,0.0351
'0:0:24.5,67,0.0351
'0:0:24.6,67,0.0350
'0:0:24.7,67,0.0350
'0:0:24.8,67,0.0350
'0:0:24.9,67,0.0350
'0:0:25.0,67,0.0350
'0:0:25.1,67,0.0350
'0:0:25.2,67,0.0350
'0:0:25.3,67,0.0349
'0:0:25.4,67,0.0349
'0:0:25.5,67,0.0350
'0:0:25.6,67,0.0350
'0:0:25.7,67,0.0349
'0:0:25.8,67,0.0350
'0:0:25.9,67,0.0350
'0:0:26.0,67,0.0350
'0:0:26.1,67,0.0351
'0:0:26.2,67,0.0350
'0:0:26.3,67,0.0350
'0:0:26.4,67,0.0350
'0:0:26.5,67,0.0350
'0:0:26.6,67,0.0351
'0:0:26.7,67,0.0351
'0:0:26.8,67,0.0350
'0:0:26.9,67,0.0351
'0:0:27.0,67,0.0350
'0:0:27.1,67,0.0351
'0:0:27.2,67,0.0351
'0:0:27.3,67,0.0351
'0:0:27.4,67,0.0350
'0:0:27.5,67,0.0351
'0:0:27.6,67,0.0351
'0:0:27.7,67,0.0351
'0:0:27.8,67,0.0351
'0:0:27.9,67,0.0351
'0:0:28.0,67,0.0350
'0:0:28.1,67,0.0351
'0:0:28.2,67,0.0350
'0:0:28.3,67,0.0351
'0:0:28.4,67,0.0350
'0:0:28.5,67,0.0350
'0:0:28.6,61,0.0351
'0:0:28.7,61,0.0351
'0:0:28.8,61,0.0351
'0:0:28.9,61,0.0350
'0:0:29.0,61,0.0351
'0:0:29.1,61,0.0351
'0:0:29.2,61,0.0351
'0:0:29.3,61,0.0350
'0:0:29.4,60,0.0350
'0:0:29.5,60,0.0350
'0:0:29.6,60,0.0351
'0:0:29.7,60,0.0351
'0:0:29.8,60,0.0351
'0:0:29.9,60,0.0351
'0:0:30.0,60,0.0351
'0:0:30.1,60,0.0351
'0:0:30.2,60,0.0351
'0:0:30.3,61,0.0351
'0:0:30.4,61,0.0351
'0:0:30.5,61,0.0351
'0:0:30.6,61,0.0352
'0:0:30.7,61,0.0351
'0:0:30.8,61,0.0351
'0:0:30.9,61,0.0351
'0:0:31.0,61,0.0351
'0:0:31.1,61,0.0351
'0:0:31.2,58,0.0350
'0:0:31.3,58,0.0350
'0:0:31.4,58,0.0350
'0:0:31.5,58,0.0351
'0:0:31.6,58,0.0351
'0:0:31.7,58,0.0351
'0:0:31.8,58,0.0350
'0:0:31.9,58,0.0351
'0:0:32.0,58,0.0350
'0:0:32.1,58,0.0350
